ID,FechaPrestamo,EdadPrestamo,MontoPrestado,Cuotas
2814,2006-06-13 00:00:00,29,191,8
2805,2006-06-13 00:00:00,30,410,8
2803,2006-06-13 00:00:00,31,298,8
2819,2006-06-13 00:00:00,31,331,8
2818,2006-06-13 00:00:00,32,456,8
2801,2006-06-13 00:00:00,33,264,8
2812,2006-06-13 00:00:00,34,236,8
2820,2006-06-13 00:00:00,34,465,8
2809,2006-06-13 00:00:00,34,503,8
2799,2006-06-13 00:00:00,35,225,8
2824,2006-06-13 00:00:00,36,293,8
2825,2006-06-13 00:00:00,39,226,8
2800,2006-06-13 00:00:00,40,404,8
2826,2006-06-13 00:00:00,47,329,8
2802,2006-06-13 00:00:00,49,253,8
2810,2006-06-13 00:00:00,54,264,8
2813,2006-06-13 00:00:00,54,281,8
2817,2006-06-13 00:00:00,54,345,8
2806,2006-06-13 00:00:00,56,199,8
1988,2006-06-14 00:00:00,34,337,8
1975,2006-06-14 00:00:00,37,218,8
1984,2006-06-14 00:00:00,41,483,8
1985,2006-06-14 00:00:00,49,334,8
3709,2006-06-19 00:00:00,31,442,8
1659,2006-06-20 00:00:00,29,309,8
2126,2006-06-21 00:00:00,28,215,8
2121,2006-06-21 00:00:00,37,327,8
1617,2006-06-21 00:00:00,38,412,8
1618,2006-06-21 00:00:00,42,232,8
1623,2006-06-21 00:00:00,45,438,8
1613,2006-06-21 00:00:00,49,345,8
1615,2006-06-21 00:00:00,49,507,8
2131,2006-06-21 00:00:00,70,547,8
3395,2006-06-22 00:00:00,23,196,8
3407,2006-06-22 00:00:00,23,328,8
3391,2006-06-22 00:00:00,24,314,8
3399,2006-06-22 00:00:00,25,221,8
3383,2006-06-22 00:00:00,26,196,8
3396,2006-06-22 00:00:00,26,457,8
3386,2006-06-22 00:00:00,29,506,8
3403,2006-06-22 00:00:00,30,508,8
3385,2006-06-22 00:00:00,31,480,8
3400,2006-06-22 00:00:00,32,310,8
3401,2006-06-22 00:00:00,35,286,8
3384,2006-06-22 00:00:00,35,431,8
3402,2006-06-22 00:00:00,36,439,8
